# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, t_end(PM), wall_time, fate
4.44, 0.00, 0.4027, 0.0006, -2.9237e-02, 0.3137, 0.0008, 9.1302e-01, 0.3316, 0.0004, -6.1938e-02, 0.3164, 0.0002, 2.2425e-01, 3.1264e+05, 268.84733, collision
4.38, 0.00, 0.3542, 0.0006, 5.3570e-01, 0.3621, 0.0011, -2.3273e-01, 0.1970, 0.0004, -5.9908e-02, 0.2473, 0.0005, 1.4639e-01, 3.1845e+05, 277.06773, collision
4.45, 0.00, 0.8578, 0.0006, 3.2194e-01, 0.5571, 0.0008, -3.2654e-01, 0.5630, 0.0005, 3.4220e-01, 0.6193, 0.0003, 1.4631e+00, 3.2782e+05, 282.46018, collision
4.41, 0.00, 0.2172, 0.0006, 2.2397e-01, 0.2180, 0.0006, -3.4406e-02, 0.1957, 0.0004, 2.7025e-02, 0.1750, 0.0006, 2.6468e-02, 3.3921e+05, 290.94380, collision
4.47, 0.00, 0.2752, 0.0002, 1.3150e+00, 0.4278, 0.0009, 9.4304e-01, 0.2541, 0.0003, -6.7157e-01, 0.2156, 0.0003, 1.5329e-01, 3.7931e+05, 324.46243, collision
4.50, 0.00, 0.2642, 0.0003, -1.9196e-03, 0.2442, 0.0005, 3.0371e-01, 0.1796, 0.0004, 5.6542e-02, 0.1890, 0.0001, 9.4738e-02, 3.8125e+05, 324.33280, collision
4.52, 0.00, 0.2663, 0.0003, -2.5377e-01, 0.3999, 0.0005, 1.8265e+00, 0.4663, 0.0001, 7.1035e-01, 0.1425, 0.0002, -7.7918e-02, 3.8725e+05, 327.85334, collision
4.51, 0.00, 0.2034, 0.0004, -4.3397e-03, 0.2791, 0.0003, 3.9755e-01, 0.3944, 0.0001, 9.5095e-01, 0.2660, 0.0001, -4.3591e-01, 4.2187e+05, 354.62115, collision
4.35, 0.00, 0.3002, 0.0009, 6.0806e-01, 0.3009, 0.0005, -2.6157e-01, 0.2564, 0.0006, 1.0417e-02, 0.2180, 0.0004, 7.9650e-02, 4.1644e+05, 360.42257, collision
4.46, 0.00, 0.2195, 0.0005, 7.1609e-02, 0.2341, 0.0003, 2.6253e-01, 0.2766, 0.0003, -8.7592e-02, 0.3264, 0.0001, 2.0747e-01, 4.3134e+05, 363.55960, collision
