# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
7.45, 0.03, 0.0471, 0.0193, -2.9170e-04, 0.0428, 0.0153, 9.5093e-03, 0.0517, 0.0004, 1.9626e-02, 1.0000e+05, 32.11626, tmax
10.18, 0.11, 0.1110, 0.1110, -3.7057e-05, 0.0986, 0.0986, -2.3343e-03, 0.4075, 0.4075, 2.3260e-03, 8.5381e+02, 0.29578, a>0.4R_H
4.96, 0.10, 0.1110, 0.0005, -1.7967e-03, 0.1184, 0.0251, 9.1484e-03, 0.1602, 0.0768, 9.7712e-03, 1.0000e+05, 33.74703, tmax
6.65, 0.11, 0.1109, 0.0677, 3.5912e-04, 0.1191, 0.0704, -2.5957e-03, 0.1536, 0.0779, 4.5920e-03, 1.0000e+05, 34.06631, tmax
4.74, 0.11, 0.1275, 0.0015, 1.3732e-03, 0.1419, 0.0136, 1.4417e-02, 0.1839, 0.0864, 2.0102e-02, 1.0000e+05, 34.25038, tmax
9.78, 0.08, 0.1244, 0.0789, 2.1194e-05, 0.0873, 0.0113, -3.0881e-03, 0.2457, 0.0071, 2.6357e-03, 1.0000e+05, 34.49176, tmax
5.14, 0.07, 0.0790, 0.0009, 1.3044e-03, 0.0874, 0.0130, 1.4419e-02, 0.1181, 0.0445, -9.5754e-03, 1.0000e+05, 33.05377, tmax
6.80, 0.11, 0.1168, 0.0992, -1.1020e-04, 0.1231, 0.0935, 1.0058e-02, 0.1310, 0.0716, 1.9943e-02, 1.0000e+05, 34.97180, tmax
6.10, 0.25, 0.3818, 0.0808, -1.4309e-01, 0.8307, 0.0174, 6.0094e+00, 0.3907, 0.0283, -5.0105e-01, 6.0109e+03, 2.51436, a>0.4R_H
3.77, 0.07, 0.0000, 1.0000, 9.3494e-01, 0.0000, 1.0000, -3.8371e-01, 0.0000, 1.0000, 1.1472e-01, 2.0905e+02, 0.08588, collision
6.86, 0.11, 0.1300, 0.1000, 2.4735e-04, 0.1331, 0.0930, -2.8992e-03, 0.1286, 0.0569, 1.0983e-02, 1.0000e+05, 35.35819, tmax
4.08, 0.07, 0.2125, 0.0029, -2.8954e-03, 0.1906, 0.0009, 3.3234e-03, 0.1526, 0.0008, 8.7812e-03, 1.0000e+05, 35.46361, tmax
10.49, 0.12, 0.1205, 0.1205, -1.7095e-05, 0.1081, 0.1081, 1.2625e-02, 207536.4177, 1.0000, -1.0009e+00, 8.5381e+02, 0.29852, a<0
7.64, 0.12, 0.2042, 0.0090, 1.5967e-03, 0.1630, 0.0161, -3.3723e-03, 0.1737, 0.0578, 6.0507e-03, 1.0000e+05, 35.87623, tmax
3.77, 0.29, 730935986.0323, 1.0000, -1.0000e+00, 0.0000, 1.0000, -1.0000e+00, 0.0000, 1.0000, 1.4675e+00, 8.5381e+02, 0.20495, a<0
6.60, 0.18, 0.1864, 0.0348, 1.6977e-03, 0.1841, 0.0654, 1.3421e-02, 0.2698, 0.1404, 8.3109e-03, 1.0000e+05, 36.38953, tmax
5.12, 0.17, 0.3333, 0.0287, -1.6796e-01, 0.4500, 0.0169, 8.5451e-01, 0.4150, 0.0448, 2.5047e-01, 1.0701e+04, 4.15430, collision
9.34, 0.11, 0.1762, 0.1085, 2.4682e-06, 0.1152, 0.0011, -1.4342e-03, 0.1740, 0.0180, 2.4374e-02, 1.0000e+05, 37.06199, tmax
9.66, 0.12, 0.1906, 0.1184, -8.4432e-05, 0.1209, 0.0113, 5.8062e-03, 0.2220, 0.0109, 4.2724e-02, 1.0000e+05, 37.74728, tmax
4.31, 0.28, 0.0000, 1.0000, 1.0585e+00, 0.0000, 1.0000, -3.4632e-01, 0.0000, 1.0000, 2.0836e-02, 5.9793e+01, 0.02525, collision
8.13, 0.14, 0.1990, 0.1300, -1.7266e-04, 0.1669, 0.0749, 2.8088e-03, 0.1610, 0.0693, 1.0038e-02, 1.0000e+05, 38.16866, tmax
7.68, 0.28, 0.4331, 0.0041, 3.8518e-03, 0.3872, 0.0088, 1.0509e-02, 0.3702, 0.1445, -3.9271e-02, 1.0000e+05, 39.24287, tmax
6.53, 0.29, 0.3594, 0.0122, 3.7161e-01, 0.4259, 0.0536, -2.6964e-01, 0.4542, 0.2311, 4.6550e-02, 5.6511e+03, 2.10079, collision
9.42, 0.16, 0.2607, 0.1333, -7.7149e-05, 0.1815, 0.0007, 2.9269e-03, 0.2198, 0.0354, 1.7165e-02, 1.0000e+05, 39.26611, tmax
7.50, 0.15, 0.2567, 0.1190, 9.4749e-04, 0.1833, 0.0966, 9.9537e-03, 0.1687, 0.0463, 1.9835e-02, 1.0000e+05, 39.26726, tmax
6.40, 0.06, 0.0605, 0.0035, 4.0199e-04, 0.0729, 0.0074, -1.7318e-03, 0.1002, 0.0351, 2.7330e-04, 1.0000e+05, 32.31963, tmax
5.14, 0.05, 0.0585, 0.0005, 2.7566e-04, 0.0652, 0.0030, -2.4096e-03, 0.0906, 0.0279, 8.6228e-03, 1.0000e+05, 32.76934, tmax
6.84, 0.23, 0.2448, 0.1462, 1.1511e-03, 0.2321, 0.1584, -3.4898e-03, 0.2973, 0.1843, 2.0869e-03, 1.0000e+05, 39.49594, tmax
6.91, 0.20, 0.2208, 0.1944, 9.1572e-04, 0.2146, 0.1761, 1.0531e-02, 0.2169, 0.1406, -6.7670e-03, 1.0000e+05, 40.05441, tmax
6.74, 0.15, 0.1510, 0.1077, -3.5935e-05, 0.1563, 0.1076, 5.5432e-03, 0.1950, 0.1125, 1.1423e-02, 1.0000e+05, 36.28287, tmax
9.19, 0.25, 0.4025, 0.1701, -1.4277e-04, 0.3019, 0.0272, 1.0796e-02, 0.2807, 0.1014, 3.4790e-02, 1.0000e+05, 40.61108, tmax
5.26, 0.06, 0.1843, 0.0023, -1.3948e-02, 0.1952, 0.0010, 2.3619e-02, 0.1559, 0.0028, 1.5536e-02, 1.0000e+05, 33.77591, tmax
