#delta_H, max e_m1, max e_m2, max e_m3, max e_m4, max e_m5, sim finish time (n Pmoon), wall_time
4.23, 0.0348, 0.1222, 0.0925, 0.1037, 0.0374, 6.0420e+03, 12.84028
4.08, 0.0662, 0.0534, 0.0775, 0.0325, 0.0367, 2.3700e+03, 5.05595
4.62, 0.0548, 0.0845, 0.0511, 0.0536, 0.0679, 3.2659e+03, 6.98262
4.79, 0.1278, 0.1507, 0.1132, 0.1306, 0.1121, 2.6281e+03, 6.14285
4.43, 0.0093, 0.0320, 0.0174, 0.0155, 0.0129, 2.2868e+03, 4.79891
4.80, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 7.3722e+02, 1.56969
4.33, 495089.3916, 746112.2951, 0.0568, 0.2395, 0.1352, 5.0000e+03, 10.29665
4.81, 0.0838, 0.0545, 0.0532, 0.0444, 0.0414, 1.3445e+03, 2.89836
4.24, 0.0239, 0.0395, 0.0308, 0.0327, 0.0442, 3.7629e+03, 7.96225
4.50, 0.0538, 0.0548, 0.0475, 0.0191, 0.0320, 1.3783e+04, 29.22276
4.82, 0.0505, 0.1084, 0.0404, 0.1134, 0.0210, 1.4116e+03, 3.25177
4.44, 0.1148, 0.1487, 0.0587, 0.0639, 0.0335, 3.0448e+03, 6.52636
4.83, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.2906e+02, 0.48026
4.34, 0.0224, 0.0281, 0.0216, 0.0255, 0.0190, 3.8244e+03, 8.14163
4.84, 0.1082, 0.0697, 0.0587, 0.0807, 0.0195, 1.1320e+03, 2.44461
4.09, 0.0593, 0.0611, 0.0615, 0.0597, 0.0554, 5.8920e+03, 12.71904
4.63, 0.0417, 0.0297, 0.0288, 0.0212, 0.0148, 5.9972e+03, 12.80657
4.85, 0.0141, 0.1058, 0.1440, 0.0491, 0.0069, 1.1478e+03, 2.46672
4.51, 0.0271, 0.0395, 0.0280, 0.0293, 0.0172, 3.5569e+03, 7.44455
4.86, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 9.3823e+02, 2.04316
4.35, 0.0614, 0.0579, 0.0579, 0.0259, 0.0410, 2.4070e+03, 5.18445
4.87, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.0635e+02, 1.29224
4.64, 0.0358, 0.0268, 0.0204, 0.0209, 0.0026, 1.8119e+03, 4.01473
4.88, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.9330e+02, 0.40845
4.89, 0.0476, 0.0732, 0.0263, 0.0243, 0.0084, 1.2110e+03, 2.57035
4.52, 0.0151, 0.0243, 0.0158, 0.0101, 0.0076, 3.9125e+03, 8.30711
4.25, 0.0426, 0.0370, 0.0576, 0.0317, 0.0309, 8.3745e+03, 17.66941
4.45, 0.0492, 0.0329, 0.0388, 0.0349, 0.0416, 7.5618e+03, 16.23343
