# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
7.68, 0.00, 0.0020, 0.0000, -4.5263e-05, 0.1362, 0.0002, 7.9512e-02, 1.0000e+07, 2677.48534, tmax
6.09, 0.00, 0.0351, 0.0000, 6.2515e-05, 0.0981, 0.0000, -7.5044e-03, 1.0000e+07, 2790.95606, tmax
3.95, 0.00, 0.0233, 0.0000, -1.7507e-03, 0.0748, 0.0000, 6.4110e-02, 1.0000e+07, 2807.80544, tmax
6.89, 0.00, 0.0227, 0.0000, 2.6005e-05, 0.1124, 0.0001, -4.9007e-03, 1.0000e+07, 2763.60121, tmax
5.71, 0.00, 0.0299, 0.0000, -2.4035e-06, 0.0930, 0.0002, 8.4138e-02, 1.0000e+07, 2835.54093, tmax
6.68, 0.00, 0.0414, 0.0000, -3.5963e-05, 0.1082, 0.0000, 9.4120e-02, 1.0000e+07, 2684.48649, tmax
6.27, 0.00, 0.0400, 0.0000, -6.6770e-05, 0.1010, 0.0001, 7.2373e-03, 1.0000e+07, 2846.67474, tmax
4.89, 0.00, 0.0259, 0.0000, -2.7705e-04, 0.0839, 0.0000, 7.5659e-03, 1.0000e+07, 2713.94265, tmax
8.86, 0.00, 0.0001, 0.0001, -1.2960e-05, 0.1623, 0.1623, 3.5951e-02, 8.5381e+02, 0.22653, a>0.4R_H
4.27, 0.00, 0.0245, 0.0000, -2.0340e-04, 0.0779, 0.0001, 7.5489e-02, 1.0000e+07, 2854.75582, tmax
5.34, 0.00, 0.0276, 0.0000, -4.3582e-04, 0.0887, 0.0000, 2.5716e-02, 1.0000e+07, 2760.78911, tmax
5.02, 0.00, 0.0264, 0.0000, 8.5269e-04, 0.0852, 0.0000, 9.4716e-02, 1.0000e+07, 2816.05800, tmax
4.56, 0.00, 0.0250, 0.0000, -6.8744e-05, 0.0806, 0.0000, 3.5448e-03, 1.0000e+07, 2783.43235, tmax
4.88, 0.00, 0.0259, 0.0000, -7.1795e-04, 0.0838, 0.0000, 2.6993e-02, 1.0000e+07, 2756.19670, tmax
6.53, 0.00, 0.0477, 0.0000, 1.4859e-04, 0.1052, 0.0001, 1.0671e-01, 1.0000e+07, 2772.79333, tmax
8.42, 0.00, 0.0002, 0.0000, -1.4964e-05, 0.2012, 0.0001, 5.5248e-02, 1.0000e+07, 2758.74298, tmax
3.56, 0.00, 0.0384, 0.0000, -2.0412e-03, 0.0730, 0.0000, 2.5962e-02, 1.0000e+07, 2836.20728, tmax
4.50, 0.00, 0.0249, 0.0000, -5.8528e-04, 0.0800, 0.0001, 1.4470e-02, 1.0000e+07, 2894.93380, tmax
4.53, 0.00, 0.0250, 0.0000, 1.8576e-03, 0.0802, 0.0000, 9.0262e-02, 1.0000e+07, 2829.20075, tmax
5.93, 0.00, 0.0324, 0.0000, 1.2245e-04, 0.0960, 0.0001, -7.6023e-03, 1.0000e+07, 2812.98882, tmax
4.61, 0.00, 0.0251, 0.0000, 1.7075e-03, 0.0811, 0.0001, 9.0149e-02, 1.0000e+07, 2777.49262, tmax
4.01, 0.00, 0.0236, 0.0000, 7.6359e-04, 0.0753, 0.0001, -1.0946e-02, 1.0000e+07, 2854.26427, tmax
6.80, 0.00, 0.0302, 0.0000, -5.9324e-06, 0.1104, 0.0000, -1.0956e-03, 1.0000e+07, 2840.65003, tmax
4.26, 0.00, 0.0245, 0.0000, -1.4833e-03, 0.0778, 0.0000, 5.7036e-02, 1.0000e+07, 2875.48438, tmax
3.87, 0.00, 0.0227, 0.0001, -1.1893e-03, 0.0740, 0.0001, 6.8829e-02, 1.0000e+07, 2823.71872, tmax
3.66, 0.00, 0.0219, 0.0000, 5.1305e-03, 0.0721, 0.0001, 8.6242e-02, 1.0000e+07, 2913.47431, tmax
7.96, 0.00, 0.0008, 0.0000, -3.1428e-06, 0.1504, 0.0001, 1.4470e-01, 1.0000e+07, 2674.93983, tmax
8.65, 0.00, 0.0001, 0.0001, -9.2985e-06, 0.0328, 0.0328, 1.9403e-01, 8.5381e+02, 0.22747, a>0.4R_H
5.38, 0.00, 0.0278, 0.0000, -5.9903e-04, 0.0891, 0.0001, 6.1756e-02, 1.0000e+07, 2687.05506, tmax
