# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
5.80, 0.00, 0.6322, 0.0001, -5.9322e-03, 0.7006, 0.0010, 2.0818e+00, 1.3925e+06, 484.02711, d<R_roche
6.32, 0.00, 0.3357, 0.0010, 9.6669e+01, 0.3312, 0.0001, -1.5983e-01, 8.0999e+06, 1826.77274, collision
8.58, 0.00, 0.0003, 0.0001, 2.3123e-03, 0.1134, 0.0475, 2.0092e-01, 8.8797e+02, 0.52103, a>0.4R_H
4.44, 0.00, 0.4124, 0.0003, -3.7428e+00, 0.3011, 0.0005, -5.0063e-01, 4.8760e+05, 213.42534, collision
7.12, 0.00, 0.3340, 0.0012, 1.2988e+00, 0.2948, 0.0000, 1.0898e-01, 1.0000e+07, 2245.03811, tmax
5.25, 0.00, 0.4538, 0.0001, 2.2165e-01, 188653.1868, 0.0001, -1.0056e+00, 1.6551e+06, 550.59038, a<0
4.32, 0.00, 0.3864, 0.0003, -3.1263e-03, 0.8833, 0.0002, 5.4944e+00, 2.0017e+05, 108.03529, a>0.4R_H
4.17, 0.00, 0.4048, 0.0001, 2.8892e-01, 0.3045, 0.0003, -2.8572e+00, 3.8110e+05, 179.63258, collision
5.46, 0.00, 0.3736, 0.0002, 5.3978e-01, 0.2636, 0.0007, -3.2869e+00, 1.7379e+06, 563.62110, collision
5.76, 0.00, 0.5853, 0.0002, 2.3526e-01, 11.3218, 0.0004, -5.2968e+00, 2.7024e+06, 787.26322, a<0
4.20, 0.00, 0.2863, 0.0001, 1.0436e+00, 0.2747, 0.0004, 3.0624e-01, 3.3636e+05, 158.55874, collision
8.06, 0.00, 0.0110, 0.0000, 1.2533e+00, 0.1502, 0.0002, 3.1833e-02, 1.0000e+07, 2092.52962, tmax
5.06, 0.00, 0.5877, 0.0001, 4.5732e-02, 47514.2653, 0.0003, -1.0145e+00, 4.9624e+05, 218.44039, a<0
