# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
5.23, 0.00, 0.0204, 0.0000, 3.5795e-02, 0.0863, 0.0006, 6.1126e-02, 1.0000e+05, 56.71860, tmax
5.24, 0.00, 0.0206, 0.0002, 3.5839e-02, 0.0862, 0.0011, 6.7103e-02, 1.0000e+05, 56.62399, tmax
5.21, 0.00, 0.0206, 0.0002, 3.6662e-02, 0.0870, 0.0007, 8.4097e-02, 1.0000e+05, 57.64797, tmax
5.28, 0.00, 0.0204, 0.0000, 3.5993e-02, 0.0878, 0.0020, 2.3604e-02, 1.0000e+05, 56.66594, tmax
5.25, 0.00, 0.0206, 0.0001, 3.6516e-02, 0.0855, 0.0005, 8.1141e-02, 1.0000e+05, 59.34089, tmax
5.26, 0.00, 0.0206, 0.0001, 3.6831e-02, 0.0862, 0.0007, 8.8093e-02, 1.0000e+05, 59.33307, tmax
5.27, 0.00, 0.0205, 0.0001, 3.5745e-02, 0.0862, 0.0002, 4.2469e-02, 1.0000e+05, 59.33003, tmax
5.29, 0.00, 0.0206, 0.0001, 3.7122e-02, 0.0867, 0.0006, 9.3574e-02, 1.0000e+05, 59.43804, tmax
5.30, 0.00, 0.0201, 0.0001, 3.7476e-02, 0.0872, 0.0003, 9.7330e-02, 1.0000e+05, 56.83935, tmax
5.32, 0.00, 0.0195, 0.0004, 3.7223e-02, 0.0873, 0.0007, 9.6360e-02, 1.0000e+05, 56.82408, tmax
5.34, 0.00, 0.0199, 0.0002, 3.6729e-02, 0.0872, 0.0015, -3.8280e-03, 1.0000e+05, 56.82828, tmax
5.33, 0.00, 0.0203, 0.0002, 3.6975e-02, 0.0877, 0.0005, -1.1786e-02, 1.0000e+05, 56.84768, tmax
5.39, 0.00, 0.0197, 0.0001, 3.6960e-02, 0.0879, 0.0009, -1.0903e-02, 1.0000e+05, 56.63963, tmax
5.42, 0.00, 0.0192, 0.0000, 3.6033e-02, 0.0888, 0.0005, 4.4528e-02, 1.0000e+05, 56.75583, tmax
5.41, 0.00, 0.0196, 0.0002, 3.6944e-02, 0.0881, 0.0007, -9.7035e-03, 1.0000e+05, 56.77286, tmax
5.31, 0.00, 0.0197, 0.0002, 3.5874e-02, 0.0866, 0.0010, 3.1468e-02, 1.0000e+05, 57.17289, tmax
5.43, 0.00, 0.0191, 0.0001, 3.6181e-02, 0.0884, 0.0013, 7.0186e-02, 1.0000e+05, 56.77754, tmax
5.45, 0.00, 0.0191, 0.0001, 3.6457e-02, 0.0884, 0.0001, 1.2642e-02, 1.0000e+05, 56.76034, tmax
5.36, 0.00, 0.0201, 0.0002, 3.5965e-02, 0.0878, 0.0007, 3.4446e-02, 1.0000e+05, 57.17167, tmax
5.35, 0.00, 0.0200, 0.0001, 3.7270e-02, 0.0875, 0.0005, 9.5977e-02, 1.0000e+05, 57.19250, tmax
5.47, 0.00, 0.0189, 0.0001, 3.6767e-02, 0.0895, 0.0001, 8.4686e-02, 1.0000e+05, 56.73034, tmax
5.38, 0.00, 0.0196, 0.0001, 3.6108e-02, 0.0877, 0.0008, 2.5558e-02, 1.0000e+05, 57.17977, tmax
5.46, 0.00, 0.0192, 0.0002, 3.6405e-02, 0.0884, 0.0008, 7.1502e-02, 1.0000e+05, 56.80357, tmax
