# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
4.21, 0.00, 0.4364, 0.0001, 4.0372e+00, 0.5103, 0.0001, 9.4221e-02, 2.3106e+06, 1132.30416, collision
5.08, 0.00, 0.5296, 0.0001, -8.0285e+00, 0.6751, 0.0001, -5.9994e-01, 3.6144e+06, 1660.97052, collision
5.64, 0.00, 0.7024, 0.0002, 1.1061e-01, 1.0638, 0.0001, -1.9769e+01, 5.9548e+06, 2224.66991, a<0
8.86, 0.00, 0.0001, 0.0001, 2.8557e-04, 0.1478, 0.1478, 4.9789e-02, 8.5381e+02, 0.50362, a>0.4R_H
4.82, 0.00, 0.3140, 0.0001, -1.0422e-01, 0.3760, 0.0002, -2.0307e+00, 1.1821e+06, 583.85423, collision
3.54, 0.00, 0.3349, 0.0011, 5.5903e-01, 0.2766, 0.0008, 4.0222e-01, 6.4509e+05, 382.59625, collision
7.11, 0.00, 0.1018, 0.0001, 6.9291e-01, 0.1327, 0.0001, 3.2957e-02, 1.0000e+07, 3280.62253, tmax
4.31, 0.00, 0.6330, 0.0002, -1.1925e-01, 0.5313, 0.0006, 2.2626e+00, 8.2970e+05, 478.10915, d<R_roche
6.62, 0.00, 0.0402, 0.0004, 6.7989e-01, 0.1055, 0.0002, 6.2227e-02, 1.0000e+07, 3346.07926, tmax
4.56, 0.00, 0.6165, 0.0001, -7.9716e-02, 0.8848, 0.0002, 6.7072e+00, 1.2179e+06, 620.79815, a>0.4R_H
4.65, 0.00, 0.4945, 0.0000, -8.2984e-02, 2949.0176, 0.0006, -1.1120e+00, 1.5980e+06, 794.08759, a<0
4.39, 0.00, 0.3591, 0.0003, 1.0639e+00, 0.3130, 0.0002, 7.6103e-02, 1.0292e+06, 569.31367, collision
6.96, 0.00, 0.0702, 0.0003, 6.8521e-01, 0.1119, 0.0001, 4.7662e-04, 1.0000e+07, 3265.93184, tmax
4.09, 0.00, 0.5230, 0.0000, -1.1492e-02, 0.6584, 0.0001, 2.5941e+00, 1.6828e+06, 829.96028, d<R_roche
6.31, 0.00, 0.0692, 0.0005, 6.7686e-01, 0.1079, 0.0000, 6.4824e-02, 1.0000e+07, 3258.46515, tmax
5.10, 0.00, 0.4209, 0.0001, 8.6194e+00, 0.7524, 0.0002, -4.0338e-01, 3.3282e+06, 1446.02865, collision
7.93, 0.00, 0.0428, 0.0000, 6.9249e-01, 0.1458, 0.0001, 6.7214e-02, 1.0000e+07, 3213.13165, tmax
8.62, 0.00, 0.0002, 0.0000, 4.1763e-04, 0.2134, 0.0122, 1.8751e-01, 1.1953e+03, 0.71473, a>0.4R_H
4.52, 0.00, 0.6275, 0.0001, -1.7526e-01, 0.6832, 0.0004, 2.8696e+00, 8.6509e+05, 459.16179, d<R_roche
4.80, 0.00, 0.5174, 0.0002, 7.6840e-03, 0.8776, 0.0002, 4.8381e+00, 1.9599e+06, 956.47613, a>0.4R_H
5.02, 0.00, 0.5694, 0.0001, -3.3775e+00, 0.7834, 0.0001, -6.2629e-01, 2.6641e+06, 1167.01863, collision
8.27, 0.00, 0.0015, 0.0000, 6.9339e-01, 0.1741, 0.0001, 8.1043e-02, 1.0000e+07, 3196.42437, tmax
8.36, 0.00, 0.0015, 0.0000, 6.9394e-01, 0.1880, 0.0002, 3.7641e-02, 1.0000e+07, 3230.49373, tmax
8.63, 0.00, 0.0002, 0.0001, 3.1282e-04, 0.1940, 0.1316, 1.5004e-01, 9.2212e+02, 0.70297, a>0.4R_H
8.83, 0.00, 0.0001, 0.0001, 2.8961e-04, 0.2115, 0.2115, -2.3269e-02, 8.5381e+02, 0.52650, a>0.4R_H
6.57, 0.00, 0.0315, 0.0007, 6.7964e-01, 0.1048, 0.0000, 7.0972e-02, 1.0000e+07, 3241.09551, tmax
4.68, 0.00, 0.5651, 0.0002, -4.9133e-02, 0.7950, 0.0001, 4.2914e+00, 1.1743e+06, 593.97903, d<R_roche
6.11, 0.00, 0.0710, 0.0002, 6.7743e-01, 0.1146, 0.0002, 5.2509e-02, 1.0000e+07, 3258.53984, tmax
8.49, 0.00, 0.0009, 0.0000, 6.7430e-01, 0.2153, 0.0001, 2.4330e-02, 1.0000e+07, 3269.58180, tmax
6.97, 0.00, 0.0707, 0.0002, 6.8534e-01, 0.1135, 0.0000, -5.4056e-04, 1.0000e+07, 3279.48021, tmax
7.64, 0.00, 0.0182, 0.0005, 6.7839e-01, 0.1304, 0.0001, 4.1713e-02, 1.0000e+07, 3269.27354, tmax
6.30, 0.00, 0.2218, 0.0005, 6.8069e-01, 0.1843, 0.0001, 8.2801e-02, 1.0000e+07, 3305.66064, tmax
6.28, 0.00, 0.0411, 0.0002, 6.7813e-01, 0.1036, 0.0001, 1.5667e-02, 1.0000e+07, 3240.74775, tmax
8.71, 0.00, 0.0001, 0.0001, 2.8712e-04, 0.0912, 0.0912, 2.0553e-01, 8.5381e+02, 0.53821, a>0.4R_H
6.42, 0.00, 0.0969, 0.0004, 6.7885e-01, 0.1302, 0.0003, 1.4122e-02, 1.0000e+07, 3256.17759, tmax
6.67, 0.00, 0.0363, 0.0006, 6.8157e-01, 0.1064, 0.0002, 1.0274e-03, 1.0000e+07, 3232.49723, tmax
6.55, 0.00, 0.0356, 0.0006, 6.8004e-01, 0.1046, 0.0001, 1.9120e-02, 1.0000e+07, 3296.63671, tmax
6.24, 0.00, 0.0329, 0.0004, 6.7894e-01, 0.1001, 0.0000, 2.2320e-02, 1.0000e+07, 3223.06054, tmax
6.27, 0.00, 0.4569, 0.0004, 3.5687e-01, 0.8104, 0.0001, 2.8677e+00, 9.4024e+06, 3254.34833, a>0.4R_H
4.18, 0.00, 0.3081, 0.0002, 2.8823e+00, 0.2589, 0.0004, -2.4724e-01, 2.0373e+06, 1132.97723, collision
7.70, 0.00, 0.0142, 0.0000, 6.8644e-01, 0.1332, 0.0002, -1.7507e-03, 1.0000e+07, 3287.09108, tmax
7.47, 0.00, 0.1030, 0.0007, 6.8606e-01, 0.1449, 0.0001, 1.2175e-02, 1.0000e+07, 3283.66819, tmax
6.75, 0.00, 0.0640, 0.0001, 6.8575e-01, 0.1085, 0.0001, 2.8891e-02, 1.0000e+07, 3249.82301, tmax
7.40, 0.00, 0.1521, 0.0007, 7.1004e-01, 0.1307, 0.0003, -2.9428e-03, 1.0000e+07, 3439.57520, tmax
5.50, 0.00, 0.4802, 0.0001, 2.0516e-01, 0.6371, 0.0001, 5.5612e+00, 9.2297e+06, 3091.68792, a>0.4R_H
8.22, 0.00, 0.0021, 0.0001, 6.9305e-01, 0.1690, 0.0003, 9.3447e-02, 1.0000e+07, 3239.12118, tmax
6.85, 0.00, 0.0625, 0.0006, 6.8354e-01, 0.1103, 0.0000, 2.0944e-02, 1.0000e+07, 3249.27233, tmax
5.44, 0.00, 0.6750, 0.0001, 1.8035e-01, 0.7303, 0.0000, 4.0098e+00, 8.9615e+06, 3069.07897, a>0.4R_H
3.58, 0.00, 0.5480, 0.0011, -8.7970e-02, 0.4151, 0.0001, 1.5507e+00, 5.5491e+05, 324.71959, d<R_roche
5.80, 0.00, 0.6338, 0.0002, 1.8492e-01, 21.6071, 0.0002, -2.1123e+00, 6.2140e+06, 2344.18711, a<0
4.46, 0.00, 0.3935, 0.0001, 2.9546e-01, 0.6848, 0.0005, 2.4376e+00, 8.7153e+05, 483.98499, collision
4.32, 0.00, 0.5431, 0.0003, -4.8348e-02, 0.8184, 0.0001, 1.0765e+00, 5.6359e+05, 318.47920, d<R_roche
3.73, 0.00, 0.3482, 0.0001, 2.8824e+00, 0.2838, 0.0005, -2.8798e-01, 9.4228e+05, 521.94928, collision
5.96, 0.00, 0.7943, 0.0001, 4.9604e+00, 0.7007, 0.0002, -8.1674e-01, 8.3217e+06, 2865.72285, d<R_roche
6.91, 0.00, 0.0681, 0.0006, 6.8293e-01, 0.1124, 0.0000, 4.1416e-02, 1.0000e+07, 3257.46089, tmax
3.96, 0.00, 0.6263, 0.0001, -1.5768e-01, 0.2821, 0.0004, 5.1443e+00, 1.1384e+06, 585.97365, d<R_roche
4.37, 0.00, 0.2853, 0.0002, 2.6656e+00, 0.2589, 0.0004, 1.1850e-01, 1.3941e+06, 683.03570, collision
3.65, 0.00, 0.3130, 0.0002, 1.1198e+00, 0.3119, 0.0003, -1.5175e-02, 9.4176e+05, 534.90385, collision
7.94, 0.00, 0.0327, 0.0000, 6.9186e-01, 0.1458, 0.0002, 9.5998e-02, 1.0000e+07, 3225.57149, tmax
7.73, 0.00, 0.0275, 0.0001, 6.8625e-01, 0.1350, 0.0002, 1.1078e-01, 1.0000e+07, 3230.91207, tmax
